"Category","Item"
"Cardinal Numerals","One"
"Cardinal Numerals","Two"
"Cardinal Numerals","Three"
"Cardinal Numerals","Four"
"Cardinal Numerals","Five"
"Cardinal Numerals","Six"
"Cardinal Numerals","Seven"
"Cardinal Numerals","Eight"
"Cardinal Numerals","Nine"
"Cardinal Numerals","Ten"
"Cardinal Numerals","Eleven"
"Cardinal Numerals","Twelve"
"Cardinal Numerals","Thirteen"
"Cardinal Numerals","Fourteen"
"Cardinal Numerals","Fifteen"
"Cardinal Numerals","Sixteen"
"Cardinal Numerals","Seventeen"
"Cardinal Numerals","Eighteen"
"Cardinal Numerals","Nineteen"
"Cardinal Numerals","Twenty"
"Cardinal Numerals","Twenty One"
"Cardinal Numerals","Twenty two"
"Cardinal Numerals","Twenty three"
"Cardinal Numerals","Twenty four"
"Cardinal Numerals","Twenty five"
"Cardinal Numerals","Twenty six"
"Cardinal Numerals","Twenty seven"
"Cardinal Numerals","Twenty eight"
"Cardinal Numerals","Twenty nine"
"Cardinal Numerals","Thirty"
"Cardinal Numerals","Thirty one"
"Cardinal Numerals","Thirty two"
"Cardinal Numerals","Thirty three"
"Cardinal Numerals","Thirty four"
"Cardinal Numerals","Thirty five"
"Cardinal Numerals","Thirty six"
"Cardinal Numerals","Thirty seven"
"Cardinal Numerals","Thirty eight"
"Cardinal Numerals","Thirty nine"
"Cardinal Numerals","Forty"
"Cardinal Numerals","Forty one"
"Cardinal Numerals","Forty two"
"Cardinal Numerals","Forty three"
"Cardinal Numerals","Forty four"
"Cardinal Numerals","Forty five"
"Cardinal Numerals","Forty six"
"Cardinal Numerals","Forty seven"
"Cardinal Numerals","Forty eight"
"Cardinal Numerals","Forty nine"
"Cardinal Numerals","Fifty"
"Cardinal Numerals","Fifty one"
"Cardinal Numerals","Fifty two"
"Cardinal Numerals","Fifty three"
"Cardinal Numerals","Fifty four"
"Cardinal Numerals","Fifty five"
"Cardinal Numerals","Fifty six"
"Cardinal Numerals","Fifty seven"
"Cardinal Numerals","Fifty eight"
"Cardinal Numerals","Fifty nine"
"Cardinal Numerals","Sixty"
"Cardinal Numerals","Sixty one"
"Cardinal Numerals","Sixty two"
"Cardinal Numerals","Sixty three"
"Cardinal Numerals","Sixty four"
"Cardinal Numerals","Sixty five"
"Cardinal Numerals","Sixty six"
"Cardinal Numerals","Sixty seven"
"Cardinal Numerals","Sixty eight"
"Cardinal Numerals","Sixty nine"
"Cardinal Numerals","Seventy"
"Cardinal Numerals","Seventy one"
"Cardinal Numerals","Seventy two"
"Cardinal Numerals","Seventy three"
"Cardinal Numerals","Seventy four"
"Cardinal Numerals","Seventy five"
"Cardinal Numerals","Seventy six"
"Cardinal Numerals","Seventy seven"
"Cardinal Numerals","Seventy eight"
"Cardinal Numerals","Seventy nine"
"Cardinal Numerals","Eighty "
"Cardinal Numerals","Eighty one"
"Cardinal Numerals","Eighty two"
"Cardinal Numerals","Eighty three"
"Cardinal Numerals","Eighty four"
"Cardinal Numerals","Eighty five"
"Cardinal Numerals","Eighty six"
"Cardinal Numerals","Eighty seven"
"Cardinal Numerals","Eighty eight"
"Cardinal Numerals","Eighty nine"
"Cardinal Numerals","Ninety"
"Cardinal Numerals","Ninety one"
"Cardinal Numerals","Ninety two"
"Cardinal Numerals","Ninety three"
"Cardinal Numerals","Ninety four"
"Cardinal Numerals","Ninety five"
"Cardinal Numerals","Ninety six"
"Cardinal Numerals","Ninety seven"
"Cardinal Numerals","Ninety eight"
"Cardinal Numerals","Ninety nine"
"Cardinal Numerals","Hundred"
"Cardinal Numerals","Thousand "
"Cardinal Numerals","Ten thousand "
"Cardinal Numerals","Lakh/ Hundred thousand"
"Cardinal Numerals","Million"
"Cardinal Numerals","Crore/Ten million"
"Cardinal Numerals","Billion"
"Higher Numerals","One hundred/ hundred"
"Higher Numerals","Two hundred"
"Higher Numerals","Three hundred"
"Higher Numerals","Four hundred"
"Higher Numerals","Five hundred"
"Higher Numerals","Six hundred"
"Higher Numerals","One thousand/ thousand"
"Higher Numerals","Two thousand"
"Higher Numerals","Three thousand"
"Higher Numerals","Four thousand"
"Higher Numerals","Five thousand"
"Higher Numerals","Six thousand"
"Higher Numerals","One hundred twenty"
"Higher Numerals","One hundred eighty"
"Higher Numerals","Two hundred twenty one"
"Higher Numerals","Five hundred six"
"Higher Numerals","Three thousand forty eight"
"Higher Numerals","Six thousand nine hundred "
"Higher Numerals","Seven thousand four hundred twenty two"
"Higher Numerals","Six thousand eight "
"Ordinals","First"
"Ordinals","Second"
"Ordinals","Third"
"Ordinals","Fourth "
"Ordinals","Fifth"
"Ordinals","Sixth"
"Ordinals","Seventh"
"Ordinals","Eighth"
"Ordinals","Nineth"
"Ordinals","Tenth"
"Ordinals","Eleventh"
"Ordinals","Twelfth"
"Ordinals","Thirteenth"
"Ordinals","Fourteenth"
"Ordinals","Fifteenth"
"Ordinals","Sixteenth"
"Ordinals","Seventeenth"
"Ordinals","Eighteenth"
"Ordinals","Nineteenth"
"Ordinals","Twentieth"
"Ordinals","Twenty first"
"Ordinals","Twenty second"
"Ordinals","Fiftieth"
"Ordinals","Hundredth"
"Ordinals","(if they have more)"
"Ord-NP","First man."
"Ord-NP","Second man."
"Ord-NP","Third man."
"Ord-NP","Fourth man."
"Ord-NP","Fifth man."
"Ord-NP","First woman."
"Ord-NP","Second woman."
"Ord-NP","Third woman."
"Ord-NP","Fourth woman."
"Ord-NP","Fifth woman."
"Ord-NP","Sixth woman."
"Ord-NP","Seventh boy."
"Ord-NP","Eighth girl."
"Ord-NP","Hundredth part."
"Ord-NP","One hundred and twenty-first"
"Ord-NP","The twenty-first man."
"Ord-NP","I am in twenty-eighth floor."
"Collectives","A single word came to my mind."
"Collectives","I will pay double."
"Collectives","The hotel room had a double bed for the couple's stay."
"Collectives","Two pair of socks."
"Collectives","Pair of socks are lying here."
"Collectives","I went there dozen of times."
"Collectives","I bought half a dozen eggs."
"Collectives","wait for a couple of minutes."
"Collectives","A couple of years/weeks/days"
"Collectives","I love both of my brothers."
"Collectives","He scored 6 out of 10."
"Restrictives","Only/ One"
"Restrictives","Only two"
"Restrictives","Only three"
"Restrictives","Only five"
"Restrictives","Only ten"
"Restrictives","There is only one child."
"Restrictives","He ate only four mangoes."
"Restrictives","He ate all the mangoes."
"Restrictives","Only a little/few"
"Frequentatives","Many times"
"Frequentatives","Several times"
"Frequentatives","I sometimes do that."
"Frequentatives","I often travel."
"Frequentatives","He always fights."
"Frequentatives","She seldom goes out."
"Approximatives","Approximately 20 kilos of sugar are in the sack."
"Approximatives","Approximately fifteen kilos of rice are in the sack."
"Approximatives","Approximately 2/3rd members are left."
"Approximatives","Approximately 50% of students are attending the workshop."
"Approximatives","This institute contains approximately 1000 students."
"Approximatives","Approximately 35 kilos of mangoes are rotten."
"Aggregatives","A group of two girls played."
"Aggregatives","A group of five girls played."
"Aggregatives","A group of four girls played."
"Aggregatives","A group of twelve boys reached."
